14,LAXMI,F  36 GEN RPI Sewing  78  0,,78,0.05
,,Machine,,,
15,KARAM CHAND LATHWAL,M  49 GEN BPC Gas  61  0,,61,0.04
,,Cylinder,,,
16,RAKESH KUMAR SHARMA,M  29 GEN AIFB Lion  52  0,,52,0.03
TURNOUT,,TOTAL:  163761  871,,164632,63
Constituency,9. KIRARI,TOTAL ELECTORS :,,242830,
1,RITURAJ GOVIND,M  26 GEN AAAP Broom  97649  78,,97727,61.66
2,ANIL JHA,M  40 GEN BJP Lotus  52424  131,,52555,33.16
3,PRATYUSH KANTH,M  42 GEN INC Hand  2075  11,,2086,1.32
4,D.N. BHAGAT KUSHWAHA,M  42 GEN BSP Elephant  2013  8,,2021,1.28
5,AMRESH SHARMA,M  35 GEN DNP Saw  1499  0,,1499,0.95
6,None of the Above,NOTA NOTA  836  4,,840,0.53
7,PUSPRAJ SINGH,M  40 GEN IND Razor  763  0,,763,0.48
8,BANSHIDHAR MISHRA,M  62 GEN HCP Candles  339  0,,339,0.21
9,RASAT GARG,M  41 GEN PHRC Dao  258  0,,258,0.16
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
10,ABINAV SANJAY PRAJAPATI,M  39 GEN NCP Clock  223  1,,224,0.14
11,RAJINDER KUMAR,M  38 GEN SHS Bow &  173  0,,173,0.11
,,Arrow,,,
TURNOUT,,TOTAL:  158252  233,,158485,65.27
Constituency,10. SULTANPUR MAJRA  (SC),TOTAL ELECTORS :,,169933,
1,SANDEEP KUMAR,M  34 SC AAAP Broom  80204  65,,80269,69.5
2,PARBHU DAYAL,M  35 SC BJP Lotus  15791  39,,15830,13.71
3,JAI KISHAN,M  56 SC INC Hand  15015  21,,15036,13.02
4,NATHU RAM,M  45 SC BSP Elephant  2831  7,,2838,2.46
5,GURDAYAL SINGH,M  46 SC SHS Bow &  549  0,,549,0.48
,,Arrow,,,
6,None of the Above,NOTA NOTA  520  1,,521,0.45
7,SONU,M  34 SC BMUP Cot  308  1,,309,0.27
8,RAMESH KUMAR,O  50 SC IND Letter Box  147  1,,148,0.13
TURNOUT,,TOTAL:  115365  135,,115500,67.97
Constituency,11. NANGLOI JAT,TOTAL ELECTORS :,,239203,
1,RAGHUVINDER SHOKEEN,M  48 GEN AAAP Broom  83109  150,,83259,54.64
2,MANOJ KUMAR SHOKEEN,M  47 GEN BJP Lotus  46004  231,,46235,30.34
3,DR. BIJENDER SINGH,M  67 GEN INC Hand  15709  47,,15756,10.34
4,NARENDER BINDAL,M  49 GEN IND Glass  3318  5,,3323,2.18
,,Tumbler,,,
5,KULWANT RAI BANSAL,M  59 GEN BSP Elephant  1169  4,,1173,0.77
6,SANDEEP KHATIK,M  25 SC JD(U) Arrow  538  0,,538,0.35
7,None of the Above,NOTA NOTA  513  4,,517,0.34
8,RAGHVENDER SINGH,M  54 GEN IND Battery  410  0,,410,0.27
,,Torch,,,
9,MAHESH KUMAR,M  45 GEN IND Cot  289  0,,289,0.19
10,ADARSH SHARMA,M  35 GEN PMPT Batsman  280  0,,280,0.18
11,ANIL,M  28 GEN IND Coconut  139  0,,139,0.09
12,HARI SHANKAR SHARMA,M  50 GEN AIFB Lion  131  0,,131,0.09
13,DHARAM PAL BHILWARA,M  57 GEN HCP Candles  102  1,,103,0.07
14,ROHTASH SINGH,M  56 GEN SAAFP Brush  102  0,,102,0.07
15,DR. TARUN KUMAR,M  40 GEN VSP Gas  62  0,,62,0.04
,,Cylinder,,,
16,RATAN LAL GUPTA,M  38 GEN DJP Almirah  58  0,,58,0.04
,(ADVOCATE),,,,
TURNOUT,,TOTAL:  151933  442,,152375,63.7
Constituency,12. MANGOL PURI  (SC),TOTAL ELECTORS :,,178940,
1,RAKHI BIRLA,F  27 SC AAAP Broom  60371  163,,60534,46.94
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
2,RAJ KUMAR CHAUHAN,M  57 SC INC Hand  37707  128,,37835,29.34
3,SURJEET KUMAR,M  47 SC BJP Lotus  27684  205,,27889,21.63
4,DEVENDER KUMAR,M  32 SC BSP Elephant  1645  14,,1659,1.29
5,None of the Above,NOTA NOTA  526  8,,534,0.41
6,RAJU,M  36 SC SHS Bow &  329  1,,330,0.26
,,Arrow,,,
7,VIJAY MAHAROLIYA,M  43 SC IND Table  179  0,,179,0.14
TURNOUT,,TOTAL:  128441  519,,128960,72.07
Constituency,13. ROHINI,TOTAL ELECTORS :,,174653,
1,VIJENDER GUPTA,M  51 GEN BJP Lotus  59281  585,,59866,49.83
2,C.L. GUPTA ADVOCATE,M  60 GEN AAAP Broom  54206  293,,54499,45.36
3,SUKHBIR SHARMA,M  53 GEN INC Hand  3347  52,,3399,2.83
4,RAJU,M  45 GEN DMKP Battery  1406  0,,1406,1.17
,,Torch,,,
5,None of the Above,NOTA NOTA  549  8,,557,0.46
6,DEEPAK KUMAR,M  33 GEN BSP Elephant  343  6,,349,0.29
7,SARABJIT SINGH,M  32 GEN IND Sewing  66  0,,66,0.05
,,Machine,,,
TURNOUT,,TOTAL:  119198  944,,120142,68.79
Constituency,14. SHALIMAR BAGH,TOTAL ELECTORS :,,174417,
1,BANDANA KUMARI,F  40 GEN AAAP Broom  62327  329,,62656,52.14
2,REKHA GUPTA,F  40 GEN BJP Lotus  51132  546,,51678,43.01
3,SULEKH AGGARWAL,M  42 GEN INC Hand  3144  56,,3200,2.66
4,LALIT KUMAR GAUTAM,M  34 SC BSP Elephant  891  1,,892,0.74
5,None of the Above,NOTA NOTA  615  12,,627,0.52
6,AVINASH KUMAR JHA,M  49 GEN IND Battery  430  0,,430,0.36
,,Torch,,,
7,HARISH CHANDER TIWARI,M  63 GEN IND Saw  286  0,,286,0.24
8,ASHOK KUMAR,M  35 GEN IND FLUTE  218  1,,219,0.18
9,WAJID ALI,M  57 GEN IND Dao  87  3,,90,0.07
10,CA SATISH SINGAL,M  54 GEN IND Auto-  85  1,,86,0.07
,,Rickshaw,,,
TURNOUT,,TOTAL:  119215  949,,120164,68.89
Constituency,15. SHAKUR BASTI,TOTAL ELECTORS :,,147262,
1,SATYENDAR JAIN,M  50 GEN AAAP Broom  51230  300,,51530,48.67
2,S C VATS,M  69 GEN BJP Lotus  47942  455,,48397,45.71
3,CHAMAN LAL SHARMA,M  62 GEN INC Hand  4770  42,,4812,4.54
4,None of the Above,NOTA NOTA  428  10,,438,0.41
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
5,DR. AMAR NATH YADAV,M  66 GEN KAJP School  234  0,,234,0.22
,,Bag,,,
6,LAXMAN,M  49 GEN BSP Elephant  231  2,,233,0.22
7,SAPNA SHARMA,F  42 GEN NADP Stethosco  103  0,,103,0.1
,,pe,,,
8,JUGAL KISHOR,M  42 GEN IND Auto-  87  0,,87,0.08
,,Rickshaw,,,
9,SUNITA SACHDEVA,F  49 GEN DJP Almirah  52  1,,53,0.05
TURNOUT,,TOTAL:  105077  810,,105887,71.9
Constituency,16. TRI NAGAR,TOTAL ELECTORS :,,158887,
1,JITENDER SINGH TOMAR,M  48 GEN AAAP Broom  62836  176,,63012,55.7
2,NAND KISHORE GARG,M  66 GEN BJP Lotus  40464  237,,40701,35.98
3,ANIL BHARDWAJ,M  48 GEN INC Hand  7894  45,,7939,7.02
4,None of the Above,NOTA NOTA  402  5,,407,0.36
5,NITYA NAND SINGH,M  40 GEN BSP Elephant  317  0,,317,0.28
6,LALITA AGARWAL,F  51 GEN IND Bat  274  1,,275,0.24
7,KHALID ALI,M  34 GEN IND Battery  139  0,,139,0.12
,,Torch,,,
8,MOHAMMAD SALEEM,M  26 GEN NCP Clock  101  0,,101,0.09
9,NEELAM NIGAM,F  28 GEN JD(U) Arrow  80  0,,80,0.07
10,NANDKISHOR PRASAD,M  31 GEN IND Cup &  58  3,,61,0.05
,YADAV,Saucer,,,
11,AMIT KUMAR,M  38 SC IND BELT  33  0,,33,0.03
12,SANDEEP KANSAL,M  25 GEN SHS Bow &  28  0,,28,0.02
,,Arrow,,,
13,MANISH KUKREJA,M  30 GEN SASAPT Television  18  0,,18,0.02
14,BASHIRUDDIN,M  69 GEN AIMF Diesel  7  0,,7,0.01
,,Pump,,,
TURNOUT,,TOTAL:  112651  467,,113118,71.19
Constituency,17. WAZIRPUR,TOTAL ELECTORS :,,163100,
1,RAJESH GUPTA,M  36 GEN AAAP Broom  61036  172,,61208,54.85
2,DR. MAHANDER NAGPAL,M  55 GEN BJP Lotus  38798  366,,39164,35.1
3,HARI SHANKER GUPTA,M  58 GEN INC Hand  8296  75,,8371,7.5
4,RAM DHANI,M  41 GEN BSP Elephant  1183  2,,1185,1.06
5,RAJESH KUMAR,M  29 GEN IND Battery  547  0,,547,0.49
,,Torch,,,
6,None of the Above,NOTA NOTA  463  5,,468,0.42
7,H.D. ANSARI,M  45 GEN IND Saw  231  0,,231,0.21
8,AJAY KUMAR SINGH,M  39 GEN CPI(ML) Gas  182  1,,183,0.16
,,(L) Cylinder,,,
9,SUNIL KUMAR,M  44 SC ASSP Table  70  0,,70,0.06
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
10,MUNSHI LAL PARJAPATI,M  43 GEN LPSP Auto-  60  2,,62,0.06
,,Rickshaw,,,
11,INDARJEET YADAV,M  65 GEN SASAPT Television  53  0,,53,0.05
12,RAMESH CHANDRA,M  63 GEN PSPART Whistle  41  2,,43,0.04
,,Y,,,
TURNOUT,,TOTAL:  110960  625,,111585,68.42
Constituency,18. MODEL TOWN,TOTAL ELECTORS :,,153672,
1,AKHILESH PATI TRIPATHI,M  30 GEN AAAP Broom  54473  155,,54628,52.38
2,VIVEK  GARG,M  44 GEN BJP Lotus  37481  441,,37922,36.36
3,KANWAR KARAN SINGH,M  58 GEN INC Hand  8934  58,,8992,8.62
4,GAUTAM,M  31 GEN IND Saw  1172  4,,1176,1.13
5,None of the Above,NOTA NOTA  680  10,,690,0.66
6,JEETENDER,M  40 SC BSP Elephant  598  3,,601,0.58
7,VINOD K. JAIN,M  61 GEN IND Pen Nib  143  3,,146,0.14
,,with,,,
,,Seven,,,
,,Rays,,,
8,SACHIN JHA,M  26 GEN IND Black  127  2,,129,0.12
,,Board,,,
TURNOUT,,TOTAL:  103608  676,,104284,67.86
Constituency,19. SADAR BAZAR,TOTAL ELECTORS :,,165889,
1,SOM DUTT,M  39 GEN AAAP Broom  67362  145,,67507,56.6
2,PARVEEN KUMAR JAIN,M  58 GEN BJP Lotus  33031  161,,33192,27.83
3,AJAY MAKAN,M  51 GEN INC Hand  16254  77,,16331,13.69
4,MIRZA ALI RAZA,M  35 GEN BSP Elephant  747  1,,748,0.63
5,None of the Above,NOTA NOTA  409  3,,412,0.35
6,MAN MOHAN,M  53 GEN SHS Bow &  256  1,,257,0.22
,,Arrow,,,
7,GHANSHYAM DASS,M  58 SC IND Battery  189  0,,189,0.16
,,Torch,,,
8,PRASHANT YADAV,M  43 GEN IND FLUTE  172  0,,172,0.14
9,RITU KAUSHIK,F  34 GEN SUCI Glass  130  0,,130,0.11
,,Tumbler,,,
10,AJAY,M  51 GEN IND Dao  119  0,,119,0.1
11,MOHD FURQAN,M  54 GEN HCP Candles  81  0,,81,0.07
12,DAL CHAND,M  53 SC IND CUTTING  56  0,,56,0.05
,,PLIERS,,,
13,VED PARKASH,M  44 SC ASSP Table  44  0,,44,0.04
14,MAHENDER PRATAP,M  38 GEN RPI(A) Sewing  38  0,,38,0.03
,SINGH SIKARWAR,Machine,,,
TURNOUT,,TOTAL:  118888  388,,119276,71.9
,DETAILED RESULTS,,,,
,VALID VOTES POLLED,,,,
,,,,% VOTES,
CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED,
Constituency 20. CHANDNI CHOWK,TOTAL ELECTORS :,,113784,,
1 ALKA  LAMBA,F  39 GEN AAAP Broom  36714  42,,36756,49.35,
2 SUMAN KUMAR GUPTA,M  58 GEN BJP Lotus  18429  40,,18469,24.8,
3 PARLAD SINGH SAWHNEY,M  64 GEN INC Hand  17908  22,,17930,24.07,
4 None of the Above,NOTA NOTA  359  3,,362,0.49,
5 MOHD. REHAN,M  34 GEN BSP Elephant  217  0,,217,0.29,
6 MOHD. NASEEM,M  52 GEN NCP Clock  212  0,,212,0.28,
7 ASHOK KUMAR,M  44 GEN ABHM Coconut  117  0,,117,0.16,
8 TARUN,M  27 GEN IND Battery  111  0,,111,0.15,
,Torch,,,,
9 LAKHAN SINGH,M  45 SC IND Scissors  86  0,,86,0.12,
10 ADIL MIRZA,M  40 GEN IUML Ladder  62  1,,63,0.08,
11 SANDEEP SHARMA,M  45 GEN IND Chappals  57  0,,57,0.08,
12 BALRAM BARI,M  47 GEN IND Cup &  48  0,,48,0.06,
,Saucer,,,,
13 PARMEET SINGH,M  35 GEN IND Sewing  25  0,,25,0.03,
,Machine,,,,
14 ANIL ANAND,M  69 GEN IND Balloon  22  1,,23,0.03,
TURNOUT,TOTAL:  74367  109,,74476,65.45,
Constituency 21. MATIA MAHAL,TOTAL ELECTORS :,,115944,,
1 ASIM AHMED KHAN,M  38 GEN AAAP Broom  47517  67,,47584,59.23,
2 SHOAIB IQBAL,M  56 GEN INC Hand  21453  35,,21488,26.75,
3 SHAKEEL ANJUM DEHLVI,M  54 GEN BJP Lotus  9064  41,,9105,11.33,
4 MOHD SAMI,M  41 GEN IND Battery  430  0,,430,0.54,
,Torch,,,,
5 RAVI ANAND,M  39 SC BSP Elephant  392  4,,396,0.49,
6 UMAR FAROOQ,M  28 GEN IND Green  215  0,,215,0.27,
,Chilli,,,,
7 None of the Above,NOTA NOTA  201  2,,203,0.25,
8 SHAFI DEHLVI,M  63 GEN BMUP Cot  164  0,,164,0.2,
9 SHOAIB AHMED,M  39 GEN IND Table  161  0,,161,0.2,
10 IMRAN HUSAIN,M  40 GEN IUML Ladder  131  0,,131,0.16,
11 SHAHZAMAN,M  28 GEN IND Saw  121  1,,122,0.15,
12 MOHAMMAD AHMED SAIFI,M  54 GEN IND Window  91  0,,91,0.11,
13 MEHFUZ KHAN,M  30 GEN JKNPP Bicycle  90  0,,90,0.11,
14 C.P. SUNIL,M  41 SC GARPA Black  45  0,,45,0.06,
,Board,,,,
15 SHUEB AHMED KHAN,M  27 GEN IND Ice Cream  43  0,,43,0.05,
16 PREM NATH,M  52 SC IND Refrigerat  28  1,,29,0.04,
,or,,,,
17 MOAZAM KHAN,M  32 GEN HCP Candles  19  0,,19,0.02,
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
18,TARIQ MIRZA,M  30 GEN RPI(A) Sewing  19  0,,19,0.02
,,Machine,,,
TURNOUT,,TOTAL:  80184  151,,80335,69.29
Constituency,22. BALLIMARAN,TOTAL ELECTORS :,,140776,
1,IMRAN HUSSAIN,M  33 GEN AAAP Broom  57078  40,,57118,59.71
2,SHAYAM LAL MORWAL,M  59 SC BJP Lotus  23158  83,,23241,24.3
3,HAROON YUSUF,M  56 GEN INC Hand  13176  29,,13205,13.8
4,ABDUL JABBAR,M  58 GEN CPI Ears of  644  0,,644,0.67
,,Corn And,,,
,,Sickle,,,
5,DILIP KUMAR,M  48 SC BSP Elephant  438  0,,438,0.46
6,None of the Above,NOTA NOTA  304  0,,304,0.32
7,DAULAT RAM,M  69 GEN IND Auto-  142  0,,142,0.15
,,Rickshaw,,,
8,MD.DANISH,M  32 GEN RPI(A) Sewing  130  0,,130,0.14
,,Machine,,,
9,MANISH KUMAR,M  36 GEN NACP Gas  120  0,,120,0.13
,,Cylinder,,,
10,KRISHAN KUMAR,M  44 GEN IND Candles  107  0,,107,0.11
11,AARIF NABI,M  31 GEN IND Table  91  0,,91,0.1
,,Lamp,,,
12,RAJESH KUMAR,M  52 GEN BMUP Cot  61  0,,61,0.06
13,PREM,M  44 SC BJDI Hat  54  1,,55,0.06
TURNOUT,,TOTAL:  95503  153,,95656,67.95
Constituency,23. KAROL BAGH  (SC),TOTAL ELECTORS :,,164742,
1,VISHESH RAVI,M  31 SC AAAP Broom  67284  145,,67429,59.8
2,YOGENDER CHANDOLIYA,M  52 SC BJP Lotus  34417  132,,34549,30.64
3,MADAN KHORWAL,M  59 SC INC Hand  9112  32,,9144,8.11
4,YOGESH,M  35 SC BSP Elephant  554  5,,559,0.5
5,None of the Above,NOTA NOTA  408  3,,411,0.36
6,AMIT,M  35 SC ABHM Coconut  182  0,,182,0.16
7,PARDEEP KUMAR JATAV,M  40 SC IND Brush  175  0,,175,0.16
8,SANJAY KUMAR AKARNIA,M  40 SC IND Candles  99  0,,99,0.09
9,RANJAN KHATUMARIA,M  36 SC IND School  77  0,,77,0.07
,,Bag,,,
10,DEEPAK KUMAR,M  32 SC IND Sewing  53  1,,54,0.05
,,Machine,,,
11,KISHORE KUMAR,M  54 SC SHS Bow &  48  0,,48,0.04
,,Arrow,,,
12,DHAN RAJ CHAUHAN,M  54 SC NADP Stethosco  24  0,,24,0.02
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
TURNOUT,,TOTAL:  112433  318,,112751,68.44
Constituency,24. PATEL NAGAR  (SC),TOTAL ELECTORS :,,171213,
1 HAZARI LAL CHAUHAN,,M  66 SC AAAP Broom  68761  107,,68868,59.05
2 KRISHNA TIRATH,,F  59 SC BJP Lotus  34081  149,,34230,29.35
